id,fixed,fixedvalue,variable,aggfunction,aggvalue,pattern,metric
32,{name},'Christopher Archibald',{year},sum,pubcount,decreasing,1.0
33,{name},'Michael Dahlin',{year},sum,pubcount,increasing,1.0
34,{name},'Dongxiang Zhang',{year},sum,pubcount,decreasing,1.0
35,{name},'Michael A. Bender',{year},sum,pubcount,increasing,0.74999999999999989
36,{name},'Mahdi Milani Fard',{year},sum,pubcount,increasing,1.0
37,{name},'Ioannis Konstantinou',{year},sum,pubcount,increasing,1.0
38,{name},'Dmitry Pavlov',{year},sum,pubcount,increasing,1.0
39,{name},'Richard Turner',{year},sum,pubcount,increasing,0.74999999999999989
40,{name},'Archie C. Chapman',{year},sum,pubcount,decreasing,1.0
41,{name},'Fan Yang 0002',{year},sum,pubcount,increasing,0.89090909090909076
42,{name},'Ali Jalali',{year},sum,pubcount,increasing,1.0
43,{name},'Nati Srebro',{year},sum,pubcount,increasing,0.74999999999999989
44,{name},'Xiaoxun Sun',{year},sum,pubcount,decreasing,1.0
45,{name},'Reza Akbarinia',{year},sum,pubcount,increasing,1.0
46,{name},'Elke Achtert',{year},sum,pubcount,increasing,0.74999999999999989
47,{name},'Barbara J. Grosz',{year},sum,pubcount,increasing,0.74999999999999989
48,{name},'Xin Dong 0001',{year},sum,pubcount,decreasing,0.75
49,{name},'Thomas Schwentick',{year},sum,pubcount,increasing,0.74999999999999989
50,{name},'Verena Kantere',{year},sum,pubcount,increasing,1.0
51,{name},'Yannis Katsis',{year},sum,pubcount,decreasing,1.0
52,{name},'Benjamin Recht',{year},sum,pubcount,decreasing,0.80000000000000016
53,{name},'Marc Lanctot',{year},sum,pubcount,increasing,0.74999999999999989
54,{name},'Ming Hua',{year},sum,pubcount,decreasing,0.75000000000000011
55,{name},'Stephen J. Wright',{year},sum,pubcount,decreasing,1.0
56,{name},'Ronan LeBras',{year},sum,pubcount,decreasing,1.0
57,{name},'Wei Lu',{year},sum,pubcount,increasing,1.0
58,{name},'Reda Alhajj',{year},sum,pubcount,increasing,0.74999999999999989
59,{name},'Jitendra Malik',{year},sum,pubcount,decreasing,0.75
60,{name},'Meir Goldenberg',{year},sum,pubcount,decreasing,1.0
61,{name},'Yi Wu',{year},sum,pubcount,decreasing,1.0
62,{name},'Zhiqiang Yang',{year},sum,pubcount,increasing,0.74999999999999989
63,{name},'Jia-Huai You',{year},sum,pubcount,increasing,1.0
64,{name},'Longbing Cao',{year},sum,pubcount,increasing,0.75
65,{name},'Rinat Khoussainov',{year},sum,pubcount,increasing,1.0
66,{name},'Djemel Ziou',{year},sum,pubcount,increasing,1.0
67,{name},'Aaron J. Elmore',{year},sum,pubcount,increasing,1.0
68,{name},'Ming-Chuan Wu',{year},sum,pubcount,decreasing,1.0
69,{name},'Daniel Sheldon',{year},sum,pubcount,decreasing,1.0
70,{name},'Fangtao Li',{year},sum,pubcount,increasing,1.0
71,{name},'Clayton Scott',{year},sum,pubcount,decreasing,1.0
72,{name},'Moustafa A. Hammad',{year},sum,pubcount,decreasing,0.75
73,{name},'Fran+\xbaois Michaud',{year},sum,pubcount,increasing,1.0
74,{name},'Xiang Wang',{year},sum,pubcount,increasing,1.0
75,{name},'Jason Pazis',{year},sum,pubcount,decreasing,0.74999999999999989
76,{name},'J. Andrew Bagnell',{year},sum,pubcount,increasing,0.75
77,{name},'Sumit Gulwani',{year},sum,pubcount,decreasing,1.0
78,{name},'Kian Hsiang Low',{year},sum,pubcount,increasing,1.0
79,{name},'Giovambattista Ianni',{year},sum,pubcount,increasing,1.0
80,{name},'Aris Anagnostopoulos',{year},sum,pubcount,decreasing,0.75
81,{name},'Eric Rollins',{year},sum,pubcount,decreasing,1.0
82,{name},'Michael Flaster',{year},sum,pubcount,increasing,1.0
83,{name},'Jan Rittinger',{year},sum,pubcount,decreasing,0.75
84,{name},'Shijie Zhang',{year},sum,pubcount,increasing,0.74999999999999989
85,{name},'Sumio Watanabe',{year},sum,pubcount,increasing,1.0
86,{name},'Dimitris Samaras',{year},sum,pubcount,increasing,0.75000000000000011
87,{name},'Jeffrey Heer',{year},sum,pubcount,increasing,1.0
88,{name},'Lin Li',{year},sum,pubcount,increasing,1.0
89,{name},'Dimitri Marinakis',{year},sum,pubcount,decreasing,1.0
90,{name},'Yongxin Tong',{year},sum,pubcount,increasing,1.0
91,{name},'Nisheeth Shrivastava',{year},sum,pubcount,decreasing,0.75
92,{name},'Martha E. Pollack',{year},sum,pubcount,increasing,1.0
93,{name},'Peifeng Yin',{year},sum,pubcount,increasing,1.0
94,{name},'Sriram Raghavan',{year},sum,pubcount,decreasing,0.75
95,{name},'Rahul Gupta',{year},sum,pubcount,increasing,0.74999999999999989
96,{name},'Shankar Pal',{year},sum,pubcount,decreasing,0.75
97,{name},'Eric Sodomka',{year},sum,pubcount,increasing,0.74999999999999989
98,{name},'Matthieu Geist',{year},sum,pubcount,increasing,1.0
99,{name},'Alberto O. Mendelzon',{year},sum,pubcount,decreasing,1.0
100,{name},'Edward Snelson',{year},sum,pubcount,increasing,1.0
101,{name},'Ivan Bratko',{year},sum,pubcount,increasing,0.75
102,{name},'Mirella Lapata',{year},sum,pubcount,increasing,0.74999999999999989
103,{name},'Juan Pablo Munoz',{year},sum,pubcount,increasing,1.0
104,{name},'Shourya Roy',{year},sum,pubcount,increasing,1.0
105,{name},'Robert P. Goldman',{year},sum,pubcount,decreasing,1.0
106,{name},'Dhaval Patel',{year},sum,pubcount,decreasing,1.0
107,{name},'Daniela Florescu',{year},sum,pubcount,decreasing,0.75
108,{name},'Arif Tuna Ozgelen',{year},sum,pubcount,increasing,1.0
109,{name},'Guy Van den Broeck',{year},sum,pubcount,decreasing,0.74999999999999989
110,{name},'Yair Weiss',{year},sum,pubcount,decreasing,0.80000000000000016
111,{name},'Michalis Vazirgiannis',{year},sum,pubcount,increasing,1.0
112,{name},'Matthew E. Taylor',{year},sum,pubcount,increasing,0.74999999999999989
113,{name},'Yu Deng',{year},sum,pubcount,increasing,1.0
114,{name},'Robert Speer',{year},sum,pubcount,decreasing,1.0
115,{name},'Alborz Geramifard',{year},sum,pubcount,increasing,1.0
116,{name},'Kohei Hayashi',{year},sum,pubcount,increasing,1.0
117,{name},'Viet Dung Dang',{year},sum,pubcount,decreasing,1.0
118,{name},'Yun Peng',{year},sum,pubcount,increasing,1.0
119,{name},'Rui Zhang',{year},sum,pubcount,increasing,1.0
120,{name},'Lei Sheng',{year},sum,pubcount,increasing,0.74999999999999989
121,{name},'Qihong Shao',{year},sum,pubcount,increasing,1.0
122,{name},Ya'akov Gal,{year},sum,pubcount,increasing,0.79999999999999993
123,{name},'Matthew D. Hoffman',{year},sum,pubcount,decreasing,1.0
124,{name},'Dan Lin',{year},sum,pubcount,decreasing,0.75
125,{name},'Sander M. Bohte',{year},sum,pubcount,decreasing,1.0
126,{name},'Thomas Bernecker',{year},sum,pubcount,decreasing,0.74999999999999989
127,{name},'Carlos Garcia-Alvarado',{year},sum,pubcount,decreasing,0.74999999999999989
128,{name},'Cynthia Breazeal',{year},sum,pubcount,increasing,0.74999999999999989
129,{name},'Jan Schaffner',{year},sum,pubcount,increasing,0.75
130,{name},'Pang Wei Koh',{year},sum,pubcount,increasing,1.0
131,{name},'Guillermo Sapiro',{year},sum,pubcount,decreasing,0.74999999999999989
132,{name},'Edleno Silva de Moura',{year},sum,pubcount,decreasing,1.0
133,{name},'Henrik Reif Andersen',{year},sum,pubcount,decreasing,1.0
134,{name},'Wei Wang 0028',{year},sum,pubcount,decreasing,1.0
135,{name},'Ido Dagan',{year},sum,pubcount,increasing,1.0
136,{name},'Scott Niekum',{year},sum,pubcount,increasing,1.0
137,{name},'Vassilis Athitsos',{year},sum,pubcount,decreasing,0.75
138,{name},'Hao Liu',{year},sum,pubcount,decreasing,1.0
139,{name},'Minmin Chen',{year},sum,pubcount,decreasing,0.75
140,{name},'Yu Suzuki',{year},sum,pubcount,increasing,1.0
141,{name},'Shengjie Wang',{year},sum,pubcount,increasing,1.0
142,{name},'Todd K. Leen',{year},sum,pubcount,increasing,1.0
143,{name},'James P. McGlothlin',{year},sum,pubcount,decreasing,1.0
144,{name},'Anon Plangprasopchok',{year},sum,pubcount,decreasing,1.0
145,{name},'Desney S. Tan',{year},sum,pubcount,increasing,1.0
146,{name},'Kim Nguyen 0001',{year},sum,pubcount,decreasing,1.0
147,{name},'Leslie Pack Kaelbling',{year},sum,pubcount,increasing,0.79999999999999993
148,{name},'Candace L. Sidner',{year},sum,pubcount,decreasing,1.0
149,{name},'Walker M. White',{year},sum,pubcount,increasing,0.79999999999999993
150,{name},'Jialei Wang',{year},sum,pubcount,increasing,1.0
151,{name},'Mirco Stern',{year},sum,pubcount,increasing,1.0
152,{name},'J++rgen Kr+\xf1mer',{year},sum,pubcount,increasing,1.0
153,{name},'Nectarios Koziris',{year},sum,pubcount,increasing,1.0
154,{name},'Andrew Guillory',{year},sum,pubcount,decreasing,0.75
155,{name},'Athman Bouguettaya',{year},sum,pubcount,increasing,1.0
156,{name},'Serge Belongie',{year},sum,pubcount,increasing,0.75
157,{name},'Dan Zhang',{year},sum,pubcount,decreasing,0.89090909090909098
158,{name},'Michael Rys',{year},sum,pubcount,increasing,0.75000000000000011
159,{name},'Jeffrey R. Croxell',{year},sum,pubcount,decreasing,1.0
160,{name},'Ge Yu',{year},sum,pubcount,decreasing,0.75
161,{name},'Christian Schallhart',{year},sum,pubcount,increasing,1.0
162,{name},'Mark T. Keane',{year},sum,pubcount,increasing,0.74999999999999989
163,{name},'Gert Cauwenberghs',{year},sum,pubcount,decreasing,1.0
164,{name},'Jia Xu',{year},sum,pubcount,increasing,0.75000000000000011
165,{name},'Chetan Gupta',{year},sum,pubcount,decreasing,0.74999999999999989
166,{name},'Ramesh Jain',{year},sum,pubcount,increasing,0.75
167,{name},'Nathan D. Ratliff',{year},sum,pubcount,increasing,0.74999999999999989
168,{name},'Brent Bryan',{year},sum,pubcount,decreasing,0.75
169,{name},'Andrew Gelfand',{year},sum,pubcount,increasing,1.0
170,{name},'Zhifeng Bao',{year},sum,pubcount,decreasing,1.0
171,{name},'Mario A. Nascimento',{year},sum,pubcount,increasing,0.75000000000000011
172,{name},'Debra T. Burhans',{year},sum,pubcount,decreasing,1.0
173,{name},'Mark Palatucci',{year},sum,pubcount,increasing,1.0
174,{name},'Evangelia Kalyvianaki',{year},sum,pubcount,decreasing,0.75
175,{name},'Victor Naroditskiy',{year},sum,pubcount,increasing,1.0
176,{name},'Gita Sukthankar',{year},sum,pubcount,decreasing,0.75
177,{name},'Adam Sadilek',{year},sum,pubcount,increasing,0.75
178,{name},'Liping Peng',{year},sum,pubcount,decreasing,0.75
179,{name},'Melanie Weis',{year},sum,pubcount,increasing,0.75
180,{name},'Martin Sachenbacher',{year},sum,pubcount,increasing,0.74999999999999989
181,{name},'Ashutosh Singh',{year},sum,pubcount,decreasing,1.0
182,{name},'Jian Gong',{year},sum,pubcount,increasing,1.0
183,{name},'Huan Xu',{year},sum,pubcount,decreasing,0.89999999999999991
184,{name},'Yaakov Engel',{year},sum,pubcount,increasing,1.0
185,{name},'Victor R. Lesser',{year},sum,pubcount,decreasing,0.74999999999999989
186,{name},'Lijun Zhang 0014',{year},sum,pubcount,decreasing,1.0
187,{name},'Farouk Toumani',{year},sum,pubcount,decreasing,0.75
188,{name},'Supiti Buranawatanachoke',{year},sum,pubcount,increasing,0.75
189,{name},'Kun-Ta Chuang',{year},sum,pubcount,decreasing,1.0
190,{name},'Geert-Jan M. Kruijff',{year},sum,pubcount,increasing,0.74999999999999989
191,{name},'Alex Dekhtyar',{year},sum,pubcount,decreasing,1.0
192,{name},'Monica S. Lam',{year},sum,pubcount,decreasing,1.0
193,{name},'Victor Vianu',{year},sum,pubcount,increasing,0.79999999999999993
194,{name},'Junjie Wu',{year},sum,pubcount,decreasing,0.75
195,{name},'Daniel B. Neill',{year},sum,pubcount,increasing,1.0
196,{name},'Guy Lever',{year},sum,pubcount,decreasing,1.0
197,{name},'Pablo Castro',{year},sum,pubcount,decreasing,1.0
198,{name},'Stefano Ermon',{year},sum,pubcount,decreasing,0.75
199,{name},'Cun-Hui Zhang',{year},sum,pubcount,increasing,1.0
200,{name},'De-Nian Yang',{year},sum,pubcount,decreasing,0.75
201,{name},'Thore Graepel',{year},sum,pubcount,decreasing,0.75
202,{name},'Song Wang',{year},sum,pubcount,decreasing,1.0
203,{name},'Michaela G+\xa6tz',{year},sum,pubcount,decreasing,1.0
204,{name},'Cristina Conati',{year},sum,pubcount,increasing,0.74999999999999989
205,{name},'Yi Zhang 0010',{year},sum,pubcount,decreasing,1.0
206,{name},'Tianshi Gao',{year},sum,pubcount,decreasing,1.0
207,{name},'Vijil Chenthamarakshan',{year},sum,pubcount,decreasing,1.0
208,{name},'Ben Goertzel',{year},sum,pubcount,decreasing,1.0
209,{name},'Dai Kobayashi',{year},sum,pubcount,increasing,1.0
210,{name},'Konstantinos Karanasos',{year},sum,pubcount,increasing,1.0
211,{name},'Zhaoqi Chen',{year},sum,pubcount,decreasing,1.0
212,{name},'Adam Coates',{year},sum,pubcount,increasing,0.74999999999999989
213,{name},'Duncan J. Watts',{year},sum,pubcount,increasing,1.0
214,{name},'John Pearson',{year},sum,pubcount,decreasing,1.0
215,{name},'Bin Yang 0002',{year},sum,pubcount,increasing,1.0
216,{name},'Zhiwu Lu',{year},sum,pubcount,decreasing,0.74999999999999989
217,{name},'Salvatore Raunich',{year},sum,pubcount,increasing,0.74999999999999989
218,{name},'Vinay K. Chaudhri',{year},sum,pubcount,increasing,1.0
219,{name},'Xiao Cai',{year},sum,pubcount,increasing,1.0
220,{name},'Sunghun Kim',{year},sum,pubcount,increasing,1.0
221,{name},'Bistra N. Dilkina',{year},sum,pubcount,decreasing,1.0
222,{name},'Marcelo Mendoza',{year},sum,pubcount,decreasing,1.0
223,{name},'Li Ma',{year},sum,pubcount,increasing,0.75
224,{name},'John Riedl',{year},sum,pubcount,increasing,1.0
225,{name},'Peter McCracken',{year},sum,pubcount,increasing,1.0
226,{name},'Florian Funke',{year},sum,pubcount,decreasing,0.75
227,{name},'Bertram Lud+\xf1scher',{year},sum,pubcount,decreasing,0.78125
228,{name},'Lin Liao',{year},sum,pubcount,increasing,1.0
229,{name},'Siddharth Barman',{year},sum,pubcount,decreasing,1.0
230,{name},'Mu-Woong Lee',{year},sum,pubcount,decreasing,1.0
231,{name},'Ran El-Yaniv',{year},sum,pubcount,decreasing,0.75
232,{name},'Shih-Chii Liu',{year},sum,pubcount,increasing,1.0
233,{name},'Bin Wang',{year},sum,pubcount,decreasing,0.75
234,{name},'Volker Tresp',{year},sum,pubcount,increasing,0.90000000000000002
235,{name},'Takeshi Fukuda',{year},sum,pubcount,decreasing,1.0
236,{name},'Tracy Hammond',{year},sum,pubcount,increasing,0.75000000000000011
237,{name},'Bharath K. Sriperumbudur',{year},sum,pubcount,increasing,0.74999999999999978
238,{name},'Walid A. Najjar',{year},sum,pubcount,decreasing,0.75
239,{name},'Yuxin Huang',{year},sum,pubcount,decreasing,0.75
240,{name},'King-Lup Liu',{year},sum,pubcount,decreasing,1.0
241,{name},'Christian Fritz',{year},sum,pubcount,increasing,1.0
242,{name},'Gilles Audemard',{year},sum,pubcount,increasing,0.74999999999999989
243,{name},'Mariam Salloum',{year},sum,pubcount,decreasing,1.0
244,{name},'Jeremy L. Wyatt',{year},sum,pubcount,increasing,0.74999999999999989
245,{name},'Shuai Huang',{year},sum,pubcount,decreasing,1.0
246,{name},'Scott Shenker',{year},sum,pubcount,decreasing,1.0
247,{name},'Arnold W. M. Smeulders',{year},sum,pubcount,increasing,1.0
248,{name},'Shengyue Ji',{year},sum,pubcount,increasing,1.0
249,{name},'Brigham Anderson',{year},sum,pubcount,increasing,1.0
250,{name},'Marc Pollefeys',{year},sum,pubcount,increasing,1.0
251,{name},'Javier Larrosa',{year},sum,pubcount,increasing,1.0
252,{name},'Maxim Peysakhov',{year},sum,pubcount,increasing,1.0
253,{name},'Mohammad Mahdian',{year},sum,pubcount,decreasing,1.0
254,{name},'Kee-Eung Kim',{year},sum,pubcount,decreasing,0.78125
255,{name},'Chris Wolf',{year},sum,pubcount,decreasing,0.75
256,{name},'Aleksander Kolcz',{year},sum,pubcount,increasing,0.74999999999999989
257,{name},'Ted Pedersen',{year},sum,pubcount,decreasing,1.0
258,{name},'Vassilis Stoumpos',{year},sum,pubcount,decreasing,1.0
259,{name},'Sterling C. Johnson',{year},sum,pubcount,increasing,1.0
260,{name},'Michael R. Genesereth',{year},sum,pubcount,increasing,1.0
261,{name},'Hazem Elmeleegy',{year},sum,pubcount,decreasing,0.75
262,{name},'Hoa Nguyen',{year},sum,pubcount,increasing,0.75
263,{name},'John K. Slaney',{year},sum,pubcount,increasing,0.75000000000000011
264,{name},'Marco Faella',{year},sum,pubcount,decreasing,1.0
265,{name},'Masoumeh T. Izadi',{year},sum,pubcount,increasing,1.0
266,{name},'Danica Porobic',{year},sum,pubcount,decreasing,1.0
267,{name},'Prasanna Ganesan',{year},sum,pubcount,decreasing,1.0
268,{name},'Martin Scholz',{year},sum,pubcount,decreasing,1.0
269,{name},'Eduard Constantin Dragut',{year},sum,pubcount,increasing,0.74999999999999989
270,{name},'Jordi Levy',{year},sum,pubcount,increasing,0.74999999999999989
271,{name},'Oege de Moor',{year},sum,pubcount,increasing,1.0
272,{name},'Khaled Yagoub',{year},sum,pubcount,increasing,0.74999999999999989
273,{name},'Antonio Bahamonde',{year},sum,pubcount,decreasing,1.0
274,{name},'Ankit Agrawal',{year},sum,pubcount,decreasing,1.0
275,{name},'Bob Schulman',{year},sum,pubcount,decreasing,1.0
276,{name},'Thomas +\xe0gotnes',{year},sum,pubcount,increasing,1.0
277,{name},'Sharma Chakravarthy',{year},sum,pubcount,increasing,1.0
278,{name},'Noa Agmon',{year},sum,pubcount,decreasing,1.0
279,{name},'Kaushik Subramanian',{year},sum,pubcount,decreasing,1.0
280,{name},'Richard Tibbetts',{year},sum,pubcount,decreasing,1.0
281,{name},'Naoki Abe',{year},sum,pubcount,decreasing,0.89090909090909098
282,{name},'Loizos Michael',{year},sum,pubcount,decreasing,1.0
283,{name},'Qi Li',{year},sum,pubcount,decreasing,0.74999999999999989
284,{name},'Shengqi Yang',{year},sum,pubcount,increasing,1.0
285,{name},'Paul Breimyer',{year},sum,pubcount,increasing,1.0
286,{name},'Ralf Rantzau',{year},sum,pubcount,increasing,0.74999999999999989
287,{name},'Xuehua Shen',{year},sum,pubcount,increasing,1.0
288,{name},'Biplav Srivastava',{year},sum,pubcount,increasing,0.89090909090909076
289,{name},'Victor W. Lee',{year},sum,pubcount,decreasing,0.75
290,{name},'Sheng Li',{year},sum,pubcount,decreasing,1.0
291,{name},'Rina Foygel',{year},sum,pubcount,increasing,1.0
292,{name},'Yahong Han',{year},sum,pubcount,increasing,1.0
293,{name},'Balaji Palanisamy',{year},sum,pubcount,increasing,1.0
294,{name},'Andrea Lockerd Thomaz',{year},sum,pubcount,decreasing,0.74999999999999989
295,{name},'Alexander Zeier',{year},sum,pubcount,decreasing,0.74999999999999989
296,{name},'Michael Cammert',{year},sum,pubcount,decreasing,1.0
297,{name},'Sankar Subramanian',{year},sum,pubcount,increasing,0.74999999999999989
298,{name},'Stephen Tu',{year},sum,pubcount,increasing,1.0
299,{name},'Wendy Hui Wang',{year},sum,pubcount,increasing,0.74999999999999989
300,{name},'Christian Mathis',{year},sum,pubcount,increasing,1.0
301,{name},'Raphael Hoffmann',{year},sum,pubcount,increasing,1.0
302,{name},'Amos Azaria',{year},sum,pubcount,decreasing,0.75
303,{name},'S+\xa6ren Sonnenburg',{year},sum,pubcount,increasing,0.75
304,{name},'Michelle X. Zhou',{year},sum,pubcount,decreasing,0.75
305,{name},'Michal Rosen-Zvi',{year},sum,pubcount,increasing,1.0
306,{name},'Suresh Anthony',{year},sum,pubcount,decreasing,1.0
307,{name},'Marc Wichterich',{year},sum,pubcount,decreasing,1.0
308,{name},'Zhongyuan Wang',{year},sum,pubcount,decreasing,0.74999999999999989
309,{name},'Zhibo Chen 0002',{year},sum,pubcount,increasing,0.75000000000000011
310,{name},'Pedro Pereira Rodrigues',{year},sum,pubcount,decreasing,1.0
311,{name},'Jialie Shen',{year},sum,pubcount,increasing,0.74999999999999989
312,{name},'Stefano Soatto',{year},sum,pubcount,increasing,0.74999999999999989
313,{name},'Torsten Schaub',{year},sum,pubcount,increasing,0.74999999999999989
314,{name},'Rita Chattopadhyay',{year},sum,pubcount,decreasing,0.75
315,{name},'Tilmann Rabl',{year},sum,pubcount,decreasing,1.0
316,{name},'Jie Cao',{year},sum,pubcount,decreasing,1.0
317,{name},'Giovanni Grasso',{year},sum,pubcount,increasing,1.0
318,{name},'Alessandro Cimatti',{year},sum,pubcount,increasing,1.0
319,{name},'Eugene Agichtein',{year},sum,pubcount,increasing,0.74999999999999989
320,{name},'Marina Danilevsky',{year},sum,pubcount,increasing,1.0
321,{name},'Ashwin Ram',{year},sum,pubcount,increasing,0.74999999999999989
322,{name},'Joanna Bryson',{year},sum,pubcount,increasing,1.0
323,{name},'Jianying Hu',{year},sum,pubcount,decreasing,0.75
324,{name},'Liangjie Hong',{year},sum,pubcount,decreasing,1.0
325,{name},'Liwen Sun',{year},sum,pubcount,decreasing,0.75
326,{name},'Ken Barker',{year},sum,pubcount,decreasing,0.74999999999999989
327,{name},'Hanna M. Wallach',{year},sum,pubcount,increasing,0.74999999999999989
328,{name},'Marco Mesiti',{year},sum,pubcount,decreasing,1.0
329,{name},'Norman Y. Foo',{year},sum,pubcount,increasing,1.0
330,{name},'Carlo Strapparava',{year},sum,pubcount,increasing,1.0
331,{name},'Wolfgang Nejdl',{year},sum,pubcount,decreasing,0.75
332,{name},'Carlos Eduardo Scheidegger',{year},sum,pubcount,increasing,1.0
333,{name},'Hady Wirawan Lauw',{year},sum,pubcount,decreasing,0.75
334,{name},'Bhaskar D. Rao',{year},sum,pubcount,increasing,1.0
335,{name},'Lakhdar Sais',{year},sum,pubcount,increasing,1.0
336,{name},'Daniel Villatoro',{year},sum,pubcount,decreasing,1.0
337,{name},'Jeffrey Scott Vitter',{year},sum,pubcount,decreasing,0.74999999999999989
338,{name},'Hendrik Zender',{year},sum,pubcount,decreasing,0.75
339,{name},'Ryan Huebsch',{year},sum,pubcount,decreasing,1.0
340,{name},'Ryo Taguchi',{year},sum,pubcount,decreasing,1.0
341,{name},'Parag Singla',{year},sum,pubcount,increasing,0.75
342,{name},'Hongfei Guo',{year},sum,pubcount,decreasing,0.75
343,{name},'Zaiben Chen',{year},sum,pubcount,increasing,1.0
344,{name},'Kenny Qili Zhu',{year},sum,pubcount,decreasing,0.75
345,{name},'Taneli Mielik+\xf1inen',{year},sum,pubcount,increasing,1.0
346,{name},'Sheng Zhong',{year},sum,pubcount,increasing,1.0
347,{name},'Krishna V. Shenoy',{year},sum,pubcount,decreasing,0.80000000000000016
348,{name},'Yichuan Tang',{year},sum,pubcount,increasing,0.74999999999999989
349,{name},'Ines F+\xf1rber',{year},sum,pubcount,increasing,1.0
350,{name},'Lyublena Antova',{year},sum,pubcount,increasing,0.89090909090909076
351,{name},'Patrick C. K. Hung',{year},sum,pubcount,increasing,1.0
352,{name},'Mingsheng Hong',{year},sum,pubcount,increasing,1.0
353,{name},'Vamsidhar Thummala',{year},sum,pubcount,increasing,1.0
354,{name},'Yiannis Demiris',{year},sum,pubcount,increasing,1.0
355,{name},'Alessandro Raffio',{year},sum,pubcount,decreasing,1.0
356,{name},'Jiexing Li',{year},sum,pubcount,decreasing,0.80000000000000016
357,{name},'Ming-Chien Shan',{year},sum,pubcount,decreasing,1.0
358,{name},'Kevin Keliang Zhao',{year},sum,pubcount,decreasing,0.75
359,{name},'Erik G. Learned-Miller',{year},sum,pubcount,decreasing,1.0
360,{name},'Yong Ge',{year},sum,pubcount,increasing,1.0
361,{name},'Peter A. Flach',{year},sum,pubcount,increasing,0.74999999999999989
362,{name},'Quanzhong Li',{year},sum,pubcount,decreasing,1.0
363,{name},'Christos Dimitrakakis',{year},sum,pubcount,decreasing,1.0
364,{name},'Tharam S. Dillon',{year},sum,pubcount,increasing,1.0
365,{name},'Abhishek Mukherji',{year},sum,pubcount,decreasing,1.0
366,{name},'Jeffrey Benkler',{year},sum,pubcount,increasing,1.0
367,{name},'Xiaopeng Xi',{year},sum,pubcount,increasing,1.0
368,{name},'Za+\xbbd Harchaoui',{year},sum,pubcount,increasing,1.0
369,{name},'Dino Pedreschi',{year},sum,pubcount,decreasing,0.75
370,{name},'Nando de Freitas',{year},sum,pubcount,decreasing,0.83999999999999997
371,{name},'Issei Sato',{year},sum,pubcount,decreasing,0.78125
372,{name},'Hwee Tou Ng',{year},sum,pubcount,increasing,1.0
373,{name},'Partha Pratim Talukdar',{year},sum,pubcount,increasing,0.74999999999999989
374,{name},'John C. Shafer',{year},sum,pubcount,increasing,0.74999999999999989
375,{name},'Arun Kumar',{year},sum,pubcount,decreasing,1.0
376,{name},'Christophe Gonzales',{year},sum,pubcount,increasing,1.0
377,{name},'Giorgio Orsi',{year},sum,pubcount,decreasing,0.75
378,{name},'Shahram Ebadollahi',{year},sum,pubcount,decreasing,1.0
379,{name},'Emiran Curtmola',{year},sum,pubcount,increasing,0.75
380,{name},'Paul Barford',{year},sum,pubcount,increasing,1.0
381,{name},'Xin Cao',{year},sum,pubcount,increasing,0.79999999999999993
